"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","495","unauthorizedAdminCanNotDeleteUserTest()","","Fri May 08 07:50:19 UTC 2026","passed","Fri May 08 07:50:20 UTC 2026","","iteration1.api.DeleteUserTest","iteration1.api.DeleteUserTest","unauthorizedAdminCanNotDeleteUserTest"
"","1154","userCanNotDepositToAnotherUserAccountTest()","","Fri May 08 07:49:24 UTC 2026","passed","Fri May 08 07:49:26 UTC 2026","","iteration2.api.DepositTest","iteration2.api.DepositTest","userCanNotDepositToAnotherUserAccountTest"
"","660","userCannotChangeNameToInvalidValueTest(String) [4] name=Alsu!@#$%%^&*() test_+/,<>?}{[]';/.!","","Fri May 08 07:49:37 UTC 2026","passed","Fri May 08 07:49:38 UTC 2026","","iteration2.api.ChangeUserNameTest","iteration2.api.ChangeUserNameTest","userCannotChangeNameToInvalidValueTest"
"","13574","userCanDepositTest()","","Fri May 08 07:45:47 UTC 2026","passed","Fri May 08 07:46:01 UTC 2026","","iteration2.ui.DepositUiTest","iteration2.ui.DepositUiTest","userCanDepositTest"
"","1287","unauthorizedUserCannotTransferTest()","","Fri May 08 07:49:13 UTC 2026","passed","Fri May 08 07:49:14 UTC 2026","","iteration2.api.TransferTest","iteration2.api.TransferTest","unauthorizedUserCannotTransferTest"
"","169","adminCannotDeleteNotExistsUserTest()","","Fri May 08 07:50:20 UTC 2026","passed","Fri May 08 07:50:20 UTC 2026","","iteration1.api.DeleteUserTest","iteration1.api.DeleteUserTest","adminCannotDeleteNotExistsUserTest"
"","14040","userCanChangeNameTest()","","Fri May 08 07:46:13 UTC 2026","passed","Fri May 08 07:46:27 UTC 2026","","iteration2.ui.ChangeUserNameUiTest","iteration2.ui.ChangeUserNameUiTest","userCanChangeNameTest"
"","656","userCannotChangeNameToInvalidValueTest(String) [1] name=","","Fri May 08 07:49:35 UTC 2026","passed","Fri May 08 07:49:36 UTC 2026","","iteration2.api.ChangeUserNameTest","iteration2.api.ChangeUserNameTest","userCannotChangeNameToInvalidValueTest"
"","488","userCanGetCustomerProfileTest()","","Fri May 08 07:50:20 UTC 2026","passed","Fri May 08 07:50:21 UTC 2026","","iteration1.api.CustomerProfileTest","iteration1.api.CustomerProfileTest","userCanGetCustomerProfileTest"
"","12552","userCanNotTransferWithoutEnteringRecipientAccountTest()","","Fri May 08 07:47:09 UTC 2026","passed","Fri May 08 07:47:21 UTC 2026","","iteration2.ui.TransferUiTest","iteration2.ui.TransferUiTest","userCanNotTransferWithoutEnteringRecipientAccountTest"
"","656","userCanChangeNameToTheSameNameTest()","","Fri May 08 07:49:34 UTC 2026","passed","Fri May 08 07:49:35 UTC 2026","","iteration2.api.ChangeUserNameTest","iteration2.api.ChangeUserNameTest","userCanChangeNameToTheSameNameTest"
"","662","userCannotChangeNameToInvalidValueTest(String) [6] name=Alsu  test","","Fri May 08 07:49:38 UTC 2026","passed","Fri May 08 07:49:39 UTC 2026","","iteration2.api.ChangeUserNameTest","iteration2.api.ChangeUserNameTest","userCannotChangeNameToInvalidValueTest"
"","17034","userCanNotDepositInvalidValueTest()","","Fri May 08 07:45:06 UTC 2026","passed","Fri May 08 07:45:23 UTC 2026","","iteration2.ui.DepositUiTest","iteration2.ui.DepositUiTest","userCanNotDepositInvalidValueTest"
"","847","adminCanLoginWithCorrectDataTest()","","Fri May 08 07:49:42 UTC 2026","passed","Fri May 08 07:49:42 UTC 2026","","iteration1.ui.LoginUserTest","iteration1.ui.LoginUserTest","adminCanLoginWithCorrectDataTest"
"","564","adminCanNotCreateUserWithInvalidData(String, String, String, String, List) [1] username=   , password=Password33$, role=USER, errorKey=username, errorValues=[Username cannot be blank, Username must contain only letters, digits, dashes, underscores, and dots]","","Fri May 08 07:50:23 UTC 2026","passed","Fri May 08 07:50:24 UTC 2026","","iteration1.api.CreateUserTest","iteration1.api.CreateUserTest","adminCanNotCreateUserWithInvalidData"
"","12710","userCanNotTransferWithoutEnteringAmountTest()","","Fri May 08 07:48:01 UTC 2026","passed","Fri May 08 07:48:14 UTC 2026","","iteration2.ui.TransferUiTest","iteration2.ui.TransferUiTest","userCanNotTransferWithoutEnteringAmountTest"
"","1423","userCanNotTransferInvalidAmountTest(double, String) [1] amount=10000.01, errorMessage=Transfer amount cannot exceed 10000","","Fri May 08 07:49:20 UTC 2026","passed","Fri May 08 07:49:22 UTC 2026","","iteration2.api.TransferTest","iteration2.api.TransferTest","userCanNotTransferInvalidAmountTest"
"","735","userCanNotDepositTest(Double, String) [3] amount=5000.01, errorMessage=Deposit amount cannot exceed 5000","","Fri May 08 07:49:28 UTC 2026","passed","Fri May 08 07:49:28 UTC 2026","","iteration2.api.DepositTest","iteration2.api.DepositTest","userCanNotDepositTest"
"","14048","userCanTransferWithNameAfterNameChangingTest()","","Fri May 08 07:48:28 UTC 2026","passed","Fri May 08 07:48:42 UTC 2026","","iteration2.ui.TransferUiTest","iteration2.ui.TransferUiTest","userCanTransferWithNameAfterNameChangingTest"
"","178","adminCanNotCreateUserWithInvalidData(String, String, String, String, List) [3] username=abc$, password=Password33$, role=USER, errorKey=username, errorValues=[Username must contain only letters, digits, dashes, underscores, and dots]","","Fri May 08 07:50:24 UTC 2026","passed","Fri May 08 07:50:24 UTC 2026","","iteration1.api.CreateUserTest","iteration1.api.CreateUserTest","adminCanNotCreateUserWithInvalidData"
"","0","testTransferWithFraudCheckWithBadRequest()","","Fri May 08 07:49:08 UTC 2026","skipped","Fri May 08 07:49:08 UTC 2026","","iteration2.api.TransferWithFraudCheckTest","iteration2.api.TransferWithFraudCheckTest","testTransferWithFraudCheckWithBadRequest"
"","994","userCannotDeleteUserTest()","","Fri May 08 07:50:18 UTC 2026","passed","Fri May 08 07:50:19 UTC 2026","","iteration1.api.DeleteUserTest","iteration1.api.DeleteUserTest","userCannotDeleteUserTest"
"","0","testTransferRiskFraudCheckWithSuccessStatus()","","Fri May 08 07:49:08 UTC 2026","skipped","Fri May 08 07:49:08 UTC 2026","","iteration2.api.TransferWithFraudCheckTest","iteration2.api.TransferWithFraudCheckTest","testTransferRiskFraudCheckWithSuccessStatus"
"","487","userCannotChangeNameWithoutRequestBodyTest()","","Fri May 08 07:49:40 UTC 2026","failed","Fri May 08 07:49:40 UTC 2026","","iteration2.api.ChangeUserNameTest","iteration2.api.ChangeUserNameTest","userCannotChangeNameWithoutRequestBodyTest"
"","483","adminCanCreateUserWithCorrectData()","","Fri May 08 07:50:23 UTC 2026","passed","Fri May 08 07:50:23 UTC 2026","","iteration1.api.CreateUserTest","iteration1.api.CreateUserTest","adminCanCreateUserWithCorrectData"
"","0","testTransferWithFraudCheckVerificationsAndReviewRequired()","","Fri May 08 07:49:08 UTC 2026","skipped","Fri May 08 07:49:08 UTC 2026","","iteration2.api.TransferWithFraudCheckTest","iteration2.api.TransferWithFraudCheckTest","testTransferWithFraudCheckVerificationsAndReviewRequired"
"","83","adminCanGenerateAuthTokenTest()","","Fri May 08 07:50:17 UTC 2026","passed","Fri May 08 07:50:18 UTC 2026","","iteration1.api.LoginUserTest","iteration1.api.LoginUserTest","adminCanGenerateAuthTokenTest"
"","193","adminCanNotCreateUserWithInvalidData(String, String, String, String, List) [2] username=ab, password=Password33$, role=USER, errorKey=username, errorValues=[Username must be between 3 and 15 characters]","","Fri May 08 07:50:24 UTC 2026","passed","Fri May 08 07:50:24 UTC 2026","","iteration1.api.CreateUserTest","iteration1.api.CreateUserTest","adminCanNotCreateUserWithInvalidData"
"","1421","userCanNotTransferInvalidAmountTest(double, String) [2] amount=0.0, errorMessage=Transfer amount must be at least 0.01","","Fri May 08 07:49:22 UTC 2026","passed","Fri May 08 07:49:23 UTC 2026","","iteration2.api.TransferTest","iteration2.api.TransferTest","userCanNotTransferInvalidAmountTest"
"","12088","userCanCreateAccountTest()","","Fri May 08 07:49:42 UTC 2026","passed","Fri May 08 07:49:54 UTC 2026","","iteration1.ui.CreateAccountTest","iteration1.ui.CreateAccountTest","userCanCreateAccountTest"
"","764","userCanDepositTest(Double) [2] amount=4999.99","","Fri May 08 07:49:30 UTC 2026","passed","Fri May 08 07:49:31 UTC 2026","","iteration2.api.DepositTest","iteration2.api.DepositTest","userCanDepositTest"
"","1291","userCanNotTransferValueGreaterThanBalanceTest()","","Fri May 08 07:49:16 UTC 2026","passed","Fri May 08 07:49:18 UTC 2026","","iteration2.api.TransferTest","iteration2.api.TransferTest","userCanNotTransferValueGreaterThanBalanceTest"
